Site name,Sort No.,Original Cat. No.,Provenance code,X coordinate,Y coordinate,No. artefacts,Activity category,act_cat,Material,Material detail,Type,Sub-type,Description,Inventory Number,Excavation area,Provenance 1,Provenance 2,Stratigraphical info,Other location information,Date,Period,Fort building phase,Building phase reduced,Gender ,Gender code,Height (cm),Length (cm),Rim diam. (cm),Max. diam. (cm),Base diam. (cm),Breadth (cm),Thickness (cm),Weight (g),Published illustration,Published parallels and references
Rottweil (AF V),1.00,1,1,0.232341,0.036098,1.00,tableware and serving?/toilet?-drinking?,ZTS_TD,Glass,"Natural, ridged",Cups,conical,"Wall sherd of a conical cup with faint decoration; outside polished. Colourless, transparent almost flawless.",ZV 1114/2.,"Tuttlinger Straße l3, 1980 ",,Inner trenches ,Upper fill,,,,Period I,PI,N/A,U,,,,,,,,,Pl. 1,
Rottweil (AF V),18.00,18,2,0.221898,0.024865,1.00,dress,D,Bone,,Pins,hair,"Hairpin with female bust, with flat back, on a double outlined sockel. Wide head with Flavian hairstyle: a circle of hair piled high over the forehead, separated by grooves into six rows of locks, crowned with a know above. Strands of hair at the back of the head indicated with coarse oblique grooves. Garment folds indicated at the front by four oblique grooves.",ZV 1114/1.,"Tuttlinger Straße l3, 1980 ",,Outer trench,Upper fill,,c. 80-100 AD,,Period I,PI,female,Fe,3.5 max. (bust),11.7,,0.5,,,,,Pl. 2,"Dominikanermuseum Rottweil. Lit.: Filtzinger, Arae Flaviae 112 no. 22 fig. 74."
Rottweil (AF V),27.00,27,4,0.272211,0.150118,2.00,dress,D,Copper alloy,,Armlets and Bracelets,,"Two fragments from a bronze wire armlet with undecorated hoop and sliding clasp; one broken wire end is twisted into a spiral and was originally wrapped around hoop, second end missing.",ZV 1196/30. ,"Hohenbergstraße 24-28,1987 ","Outside Fort II, latrine",Pit 20,,,,,Period II,PII,female?,ZFe,,,,,,,,,Pl. 3,"Heiligmann, Alb-Limes pl.  89.20 (Gomadingen); Riha, Schmuck 62 Typ 3.26.3, pl. 23.610; A. Isac, Der römische Schmuck in den Kastellen der Provinz Dacia Porolissensis. In: N. Gudea (Hrsg.), Roman Frontier Studies 1997. Proc. XVIIth Internat. Congress Roman Frontier Stud. (Zalau 1999} 757 Armring Typ I, Var. 3 mit rundem Profil, pl. 3.17."
Rottweil (AF V),28.00,28,4,0.272211,0.150118,1.00,dress?/horse equipment?,ZD_H,Glass,,"Beads, melon",,"Half a melon bead, light cobalt blue, faience. ",ZV 1196/30.,"Hohenbergstraße 24-28,1987 ","Outside Fort II, latrine",Trench 20,,,,,Period II,PII,female?/child?,ZFe_Ch,,,,1.8,,,,,Pl. 3,
Rottweil (AF V),103.00,94,4,0.272211,0.150118,1.00,gaming,G,"Ceramic, utilitarian",Tongrundige Ware',Counters,,"Gaming counter from the wall sherd of a pot with horizontal combed decoration; light ochre-brown (10YR 7/4), outside with dark grey (10YR 4/1) skin, black stippled.",ZV 1196/32.,"Hohenbergstraße 24-28,1987 ","Outside Fort II, latrine",Trench 20,,,,,Period II,PII,male?/female,ZMa_Fe,,,,,,,,,Pl. 7,
Rottweil (AF V),164.00,136,9,0.211494,0.059279,1.00,dress,D,Copper alloy,White metal covering,Fibulae,Riha 5.10,Hinged brooch with undivided bow and foot knob; bow of flat D-shaped section with finely grooved central ridge and pin holder pierced with a single hole; bronze with white metal coating.,ZV 1330/116. ,Tuttlinger Straße 1993-95,,Posthole traces 332,,,early Flavian - end 1st cent. AD,Flavian,Period I,PI,male?/female,ZMa_Fe,,3.9 (preserved),,,,,,,Pl. 10,"Riha, Fibeln pl. 36.971, 972; Riha, Neufunde pl. 27.2459."
Rottweil (AF V),191.00,162,11,0.210735,0.060327,1.00,dress,D,Copper alloy,White metal covering,Fibulae,,"Fragment einer hinged brooch, head and pin preserved, bronze with white metal coating.",ZV 1330/115. .,Tuttlinger Straße 1993-95,,Pit 336 (latrine),,,,,Period I,PI,male?/female,ZMa_Fe,,1.3 (preserved); pin: 4.,,,,,,,Pl. 11,
Rottweil (AF V),228.00,195,12,0.208204,0.061460,1.00,dress?/cloth working?/writing?,ZD_C_W,Bone,Worked,Needles & pins,,"Shaft fragment, head and point broken; round to slightly oval. Green-coloured.",ZV 1330/172.,Tuttlinger Straße 1993-95,Area of the  'scamnum tribunorum' ,Trenches 337,,,,,Period I,PI,male?/female?,ZMa_Fe,,6.4 (preserved),,0.5,,,,,Pl. 14,
Rottweil (AF V),229.00,196a,12,0.208204,0.061460,2.00,tableware and serving?/toilet?-drinking?,ZTS_TD,Glass,"Natural, blue-green tone",Cups,conical,"Two rim sherds of a conical cup, rim slightly thickened and rounded. Almost colourless, with dark blue-green tone, flawed.",ZV 1330/122.,Tuttlinger Straße 1993-95,Area of the  'scamnum tribunorum' ,Trench 337,,,,Flavian,Period I,PI,N/A,U,,,,,,,,,Pl. 14,
Rottweil (AF V),265.00,225,13,0.205866,0.062509,1.00,toilet,T,Copper alloy,Silvered,Mirror box,,"Bronze mirror box; base and sides, badly fragmented; sliding lid with figure of cupid in a medaillon, corners corroded; closing bolt, silvered bronze mirror, one edge corroded.",ZV 1330/103.,Tuttlinger Straße 1993-95,,Trench 258,,,1st cent. AD,lat Vespasianic - early Domitianic,Period I,PI,female,Fe,1.9,3.5,,,,3.5; (mirror 3.4), 0.05 (mirror),,Pl. 16 ,
