Site Name,Cat_No,Trench,X coordinate,Y coordinate,Quantity,Activity category,act_cat,Material,Material detail original,Type,Sub-type,Description,Inventory number,Date,Period original,Period,Camp,Building,Gender ,Gender code,Height (cm),Length (cm),Rim diam. (cm),Base diam. (cm),Wall diam. (cm),Diam. (cm),Width (cm),Max. dim. (cm),Weight (g),Surface,Fragment section,Hardness,Fabric,Colour,Published illustration,Published references
Vetera,B0001,1267,-867.375,-91.84961,1,dress,D,Copper alloy,,Finger-rings,,"Fragment with oval, red-brown incised glass inlay",34398,,,,,Z,male?/female?,ZMa_Fe,,,,,,1.9,,,,,,,,,Pl. 27,
Vetera,B0002,475,59,46.2749,1,dress,D,Copper alloy,,Brooches,fragment,3 spirals preserved; pin broken.,26012,AD 60s,Neronian,Neronian,Neronian,via principalis west,male,Ma,,2.2 preserved,,,,,1.1 preserved,,,,,,,,Pl. 27,
Vetera,B0003,982,731.5,-103.22461,1,dress,D,Copper alloy,,Brooches,fragment,3 spirals preserved; bow completely corroded; end of pin broken. ,33490,AD 60s,Neronian,Neronian,Claudian-Neronian,F,male,Ma,,,,,,,,,,,,,,,Pl. 27,
Vetera,B0004,26,-975.82202,1713.59961,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Bow with rounded section; pin missing.,18937,AD 60s,Neronian,Neronian,Claudian-Neronian,Neronian Fortifications,male,Ma,1.6,4.5,,,,,1.2,,,,,,,,Pl. 27,
Vetera,B0005,327.1,514.39235,879.63192,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Spiral construction; bow of rounded section; pin and pin holder missing,22518,,Augustan-Neronian,Aug_Ner,"B, A-C",G,male,Ma,,3.2 preserved,,,,, 0.8 preserved,,,,,,,,Pl. 27,
Vetera,B0006,278,529.0835,-93.97461,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Bow with rounded section; pin holder damaged; pin broken. ,22536e,AD 60s,Neronian,Neronian,Neronian,central market area (C),male,Ma,2,5.2,,,,,1.1,,,,,,,,Pl. 27,
Vetera,B0007,343,463.52686,863.10889,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",,22951,AD 60s?,pre-Claudian,pre_Clau,,G,male,Ma,,,,,,,,,,,,,,,,
Vetera,B0008,681,245.40186,855.97705,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Bow with rounded section.,31629,AD 60s,Neronian,Neronian,Claudian-Neronian,G,male,Ma,,4.5,1.5,,,,1,,,,,,,,,
Vetera,B0009,928,703.5,-35.72461,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",Spiral construction; bow with rounded section; pin missing; foot with pin holder badly damaged.,33534,AD 60s,Neronian,Neronian,Claudian-Neronian,via principalis east,male,Ma, 2.1 preserved,4.7 preserved,,,,,,,,,,,,,Pl. 27,
Vetera,B0010,1114,1573.5,-2.97461,1,dress,D,Copper alloy,,Brooches,"Riha 1.6.2 , 'Soldatenfibel'",2 spirals preserved; bow with rounded section; pin missing.,33711,AD 60s,Neronian,Neronian,Claudian-Neronian,V,male,Ma,2,4.7,,,,, 1.4 preserved,,,,,,,,Pl. 27,
